,lat,lon,timestamp,amenity,tags,name,weight,vancouver
3,49.260812,-123.125736,2019-05-04T04:42:59.000-07:00,cafe,"{'opening_hours': 'Mo-Fr 06:00-20:00; Sa-Su 07:00-19:00', 'addr:housenumber': '2787', 'addr:street': 'Laurel Street'}",Starbucks,5,True
4,49.260953,-123.125704,2011-09-04T23:06:40.000-07:00,fast_food,{},Salad Loop,5,True
8,49.2072816,-123.1401928,2019-05-29T17:48:57.000-07:00,fuel,"{'brand:wikidata': 'Q154950', 'wheelchair': 'yes', 'addr:housenumber': '8686', 'website': 'https://www.shell.ca/', 'brand:wikipedia': 'en:Royal Dutch Shell', 'fuel:octane_91': 'yes', 'fuel:octane_89': 'yes', 'addr:street': 'Granville Street', 'brand': 'Shell', 'fuel:octane_87': 'yes', 'operator': 'Shell'}",Shell,3,True
9,49.2040556,-123.134982,2018-08-22T07:00:56.000-07:00,cafe,"{'addr:province': 'BC', 'addr:housenumber': '1300', 'addr:street': 'West 73rd Avenue', 'addr:city': 'Vancouver'}",Wick's Cafe,5,True
15,49.2792588,-123.1074257,2016-01-07T05:11:11.000-08:00,fast_food,"{'opening_hours': 'Mo 10:30-14:00; Tu-Th 10:30-01:00; Fr 10:30-03:00; Sa 12:00-03:00; Su 12:00-24:00', 'addr:housenumber': '638', 'addr:street': 'Abbott Street'}",Uncle Fatih's Pizza,5,True
16,49.2793502,-123.1078358,2018-03-14T01:08:19.000-07:00,fast_food,"{'opening_hours': 'Su-Th 11:00-23:00; Fr-Sa 11:00-00:00', 'cuisine': 'pizza', 'addr:housenumber': '663', 'addr:street': 'Abbott Street', 'addr:city': 'Vancouver'}",Freshslice,5,True
17,49.2791132,-123.1074224,2019-05-04T04:43:00.000-07:00,fast_food,"{'opening_hours': 'Mo-Fr 09:00-20:00; Sa 11:00-19:00; Su 11:00-18:00', 'addr:housenumber': '660', 'addr:street': 'Abbott Street'}",Something Healthy,5,True
18,49.2799372,-123.1073562,2018-12-11T02:45:38.000-08:00,cafe,"{'wheelchair': 'yes', 'level': '0', 'addr:unit': '1089'}",Starbucks,5,True
21,49.2294991,-123.0903994,2018-08-21T21:12:28.000-07:00,library,"{'addr:housenumber': '6076', 'website': 'https://www.vpl.ca/locations/south-hill-branch', 'phone': '+1-604-665-3965', 'opening_hours': 'Tu, Th 10:00-21:00; We, Fr, Sa 10:00-18:00; Su 13:00-17:00', 'addr:street': 'Fraser Street', 'operator': 'Vancouver Public Library'}",Vancouver Public Library South Hill Branch,1,True
22,49.2281819,-123.0904315,2011-09-13T05:13:43.000-07:00,bank,"{'addr:housenumber': '6204', 'addr:street': 'Fraser Street'}",CIBC,2,True
